BRAND,DNLA,SKU_NO,SEQNUM,INCLUDES,INCLUDES_RAW,INCLUDED_QTY,LINK_SKU
Impact,N,386543,2,White Fabric Background,White Fabric Background,1,
Impact,N,386543,3,Translucent Plexiglass Panels,Translucent Plexiglass Panels,2,
Impact,N,386543,4,Zippered Storage Bag,Zippered Storage Bag,1,
Impact,N,386543,5,1-Year Limited Warranty,1-Year Limited Warranty,1,
Impact,N,386544,1,Black Fabric Background,Black Fabric Background,1,
Impact,N,386544,2,White Fabric Background,White Fabric Background,1,
Impact,N,386544,3,Translucent Plexiglass Panels,Translucent Plexiglass Panels,2,
Impact,N,386544,4,Zippered Storage Bag,Zippered Storage Bag,1,
Impact,N,386544,5,1-Year Limited Warranty,1-Year Limited Warranty,1,
Impact,N,386545,1,Black Fabric Background,Black Fabric Background,1,
Impact,N,386545,2,White Fabric Background,White Fabric Background,1,
Impact,N,386545,3,Translucent Plexiglass Panels,Translucent Plexiglass Panels,2,
Impact,N,386545,4,Zippered Storage Bag,Zippered Storage Bag,1,
Impact,N,386545,5,1-Year Limited Warranty,1-Year Limited Warranty,1,
Impact,N,390686,1,"24 x 24"" Softbox","24 x 24"" Softbox",1,
Impact,N,390686,2,"8"" Reflector","8"" Reflector",1,
Impact,N,390686,3,Flashtube for EX 100 Monolight,Flashtube for EX 100 Monolight,1,655090
Impact,N,390686,4,Dedicated EX100A Speedring,Dedicated EX100A Speedring,1,
Impact,N,390686,5,60W Modeling Lamp,60W Modeling Lamp,1,
Impact,N,390686,6,Mini to PC Synch Cord,Mini to PC Synch Cord,1,
Impact,N,390686,7,Spare Fuse,Spare Fuse,1,
Impact,N,390686,8,One Year Manufacturer's Warranty,One Year Manufacturer's Warranty,1,
Impact,N,397671,1,Swivel mount,Swivel mount,1,
Impact,N,397671,2,Counterweight,Counterweight,1,
Impact,N,402652,1,"24 x 24"" Softbox","24 x 24"" Softbox",1,
Impact,N,402652,2,"7"" Reflector","7"" Reflector",1,
Impact,N,402652,3,Flashtube for EX 100 Monolight,Flashtube for EX 100 Monolight,1,655090
Impact,N,402652,4,60W Modeling Lamp,60W Modeling Lamp,1,
Impact,N,402652,5,Dedicated EX100A Speedring,Dedicated EX100A Speedring,1,
Impact,N,402652,6,Mini to PC Synch Cord,Mini to PC Synch Cord,1,
Impact,N,402652,7,Spare Fuse,Spare Fuse,1,
Impact,N,402652,8,One Year Manufacturer's Warranty,One Year Manufacturer's Warranty,1,
Impact,N,402654,1,One Monolight Kit (120VAC),One Monolight Kit (120VAC),2,390686
Impact,N,402654,2,Air-Cushioned 4-Section Light Stand (8'),Air-Cushioned 4-Section Light Stand (8'),2,
Impact,N,402654,3,EX100A Sync Cord,EX100A Sync Cord,2,
Impact,N,402654,4,"Light Kit Bag #3 (36 x 8.5 x 8.5"")","Light Kit Bag #3 (36 x 8.5 x 8.5"")",1,
Impact,N,402654,5,One Year Manufacturer's Warranty,One Year Manufacturer's Warranty,1,
Impact,N,404508,1,One Year Manufacturer's Warranty,One Year Manufacturer's Warranty,1,
Impact,N,407531,1,"Monolight listed above includes:Flashtube, Modeling Light, Reflector","Monolight listed above includes:<br>Flashtube, Modeling Light, Reflector",1,
Impact,N,407531,2,Sync Cord,Sync Cord,1,
Impact,N,407531,3,Softbox with Mounting Ring,Softbox with Mounting Ring,1,
Impact,N,407531,4,1 Year Manufacturer's Warranty,1 Year Manufacturer's Warranty,1,
Impact,N,410660,1,One Year Manufacturer's Warranty,One Year Manufacturer's Warranty,1,
Impact,N,414532,1,One-Year Manufacturer's Warranty,One-Year Manufacturer's Warranty,1,
Impact,N,418000,1,1 Year Manufacturer's Warranty,1 Year Manufacturer's Warranty,1,
Impact,N,418001,1,1 Year Manufacturer's Warranty,1 Year Manufacturer's Warranty,1,
Impact,N,418002,1,1 Year Manufacturer's Warranty,1 Year Manufacturer's Warranty,1,
Impact,N,418003,1,1 Year Manufacturer's Warranty,1 Year Manufacturer's Warranty,1,
Impact,N,418004,1,1 Year Manufacturer's Warranty,1 Year Manufacturer's Warranty,1,
Impact,N,418159,1,1-Year Warranty,1-Year Warranty,1,
Impact,N,421471,1,1 Year Manufacturer's Warranty,1 Year Manufacturer's Warranty,1,
Impact,N,423625,1,1 Year Manufacturer's Warranty,1 Year  Manufacturer's Warranty,1,
Impact,N,423628,1,1 Year Manufacturer's Warranty,1 Year  Manufacturer's Warranty,1,
Impact,N,423629,1,1 Year Manufacturer's Warranty,1 Year  Manufacturer's Warranty,1,
Impact,N,423631,1,1 Year Manufacturer's Warranty,1 Year  Manufacturer's Warranty,1,
Impact,N,423634,1,1 Year Manufacturer's Warranty,1 Year  Manufacturer's Warranty,1,
Impact,N,423635,1,1 Year Manufacturer's Warranty,1 Year  Manufacturer's Warranty,1,
Impact,N,423636,1,1 Year Manufacturer's Warranty,1 Year  Manufacturer's Warranty,1,
Impact,N,423638,1,Flex Rods,Flex Rods,4,
Impact,N,423638,2,Interior Baffle,Interior Baffle,1,
Impact,N,423638,3,1 f/stop front diffusion cloth with Touch Fastener,1 f/stop front diffusion cloth with Touch Fastener,1,
Impact,N,423638,4,Mounting Ring for Impact or Bowens Monolights (except 100EX),Mounting Ring for Impact or Bowens Monolights (except 100EX),1,
Impact,N,423638,5,1 Year Manufacturer's Warranty,1 Year Manufacturer's Warranty,1,
Impact,N,425220,1,"32"" Convertible Umbrella","32"" Convertible Umbrella",2,423629
Impact,N,425220,2,Umbrella Bracket,Umbrella Bracket,2,298709
Impact,N,425220,3,"Air-Cushioned Light Stand (Black, 8')","Air-Cushioned Light Stand (Black, 8')",2,1258466
Impact,N,425220,4,1 Year Manufacturer's Warranty,1 Year Manufacturer's Warranty,1,
Impact,N,429676,1,Spare Fuse Each Light,Spare Fuse Each Light,1,
Impact,N,429676,2,One Year Manufacturer's Warranty,One Year  Manufacturer's Warranty,1,
Impact,N,429677,1,One Year Manufacturer's Warranty,One Year  Manufacturer's Warranty,1,
Impact,N,429678,1,One Year Manufacturer's Warranty,One Year  Manufacturer's Warranty,1,
Impact,N,429679,1,One Year Manufacturer's Warranty,One Year  Manufacturer's Warranty,1,
Impact,N,429680,1,One Year Manufacturer's Warranty,One Year  Manufacturer's Warranty,1,
